"module name","licenses","repository","licenseUrl","parents"
"fs-extra@2.1.2","MIT","https://github.com/jprichardson/node-fs-extra","https://github.com/jprichardson/node-fs-extra/raw/master/LICENSE","atlantis"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath","https://github.com/isaacs/fs.realpath/raw/master/LICENSE","atlantis"
"fstream@1.0.11","ISC","https://github.com/npm/fstream","https://github.com/npm/fstream/raw/master/LICENSE","atlantis"
"fullcalendar@3.5.1","MIT","https://github.com/fullcalendar/fullcalendar","https://github.com/fullcalendar/fullcalendar/raw/master/LICENSE.txt","atlantis"
"function-bind@1.1.1","MIT","https://github.com/Raynos/function-bind","https://github.com/Raynos/function-bind/raw/master/LICENSE","atlantis"
"gauge@2.7.4","ISC","https://github.com/iarna/gauge","https://github.com/iarna/gauge/raw/master/LICENSE","atlantis"
"gaze@1.1.2","MIT","https://github.com/shama/gaze","https://github.com/shama/gaze/raw/master/LICENSE-MIT","atlantis"
"get-caller-file@1.0.2","ISC","https://github.com/stefanpenner/get-caller-file","https://github.com/stefanpenner/get-caller-file","atlantis"
"get-stdin@4.0.1","MIT","https://github.com/sindresorhus/get-stdin","https://github.com/sindresorhus/get-stdin","atlantis"
"get-stream@3.0.0","MIT","https://github.com/sindresorhus/get-stream","https://github.com/sindresorhus/get-stream/raw/master/license","atlantis"
"getpass@0.1.7","MIT","https://github.com/arekinath/node-getpass","https://github.com/arekinath/node-getpass/raw/master/LICENSE","atlantis"
"glob-base@0.3.0","MIT","https://github.com/jonschlinkert/glob-base","https://github.com/jonschlinkert/glob-base/blob/master/LICENSE","atlantis"
"glob-parent@2.0.0","ISC","https://github.com/es128/glob-parent","https://github.com/es128/glob-parent/raw/master/LICENSE","atlantis"
"glob@5.0.15","ISC","https://github.com/isaacs/node-glob","https://github.com/isaacs/node-glob/raw/master/LICENSE","findup-sync:atlantis"
"glob@7.0.6","ISC","https://github.com/isaacs/node-glob","https://github.com/isaacs/node-glob/raw/master/LICENSE","stylus:atlantis"
"glob@7.1.2","ISC","https://github.com/isaacs/node-glob","https://github.com/isaacs/node-glob/raw/master/LICENSE","atlantis"
"globals@9.18.0","MIT","https://github.com/sindresorhus/globals","https://github.com/sindresorhus/globals/raw/master/license","atlantis"
"globby@5.0.0","MIT","https://github.com/sindresorhus/globby","https://github.com/sindresorhus/globby/raw/master/license","atlantis"
"globule@1.2.0","MIT","https://github.com/cowboy/node-globule","https://github.com/cowboy/node-globule/raw/master/LICENSE","atlantis"
"got@6.7.1","MIT","https://github.com/sindresorhus/got","https://github.com/sindresorhus/got/raw/master/license","atlantis"
"graceful-fs@4.1.11","ISC","https://github.com/isaacs/node-graceful-fs","https://github.com/isaacs/node-graceful-fs/raw/master/LICENSE","atlantis"
"graceful-readlink@1.0.1","MIT","https://github.com/zhiyelee/graceful-readlink","https://github.com/zhiyelee/graceful-readlink/raw/master/LICENSE","atlantis"
"handle-thing@1.2.5","MIT","https://github.com/indutny/handle-thing","https://github.com/indutny/handle-thing","atlantis"
"handlebars@1.3.0","MIT","https://github.com/wycats/handlebars.js","https://github.com/wycats/handlebars.js/raw/master/LICENSE","atlantis"
"handlebars@4.0.10","MIT","https://github.com/wycats/handlebars.js","https://github.com/wycats/handlebars.js/raw/master/LICENSE","istanbul-reports:atlantis"
"har-schema@1.0.5","ISC","https://github.com/ahmadnassri/har-schema","https://github.com/ahmadnassri/har-schema/raw/master/LICENSE","atlantis"
"har-validator@4.2.1","ISC","https://github.com/ahmadnassri/har-validator","https://github.com/ahmadnassri/har-validator/raw/master/LICENSE","atlantis"
"has-ansi@2.0.0","MIT","https://github.com/sindresorhus/has-ansi","https://github.com/sindresorhus/has-ansi/raw/master/license","atlantis"
"has-binary@0.1.7","MIT","","","atlantis"
"has-cors@1.1.0","MIT","https://github.com/component/has-cors","https://github.com/component/has-cors","atlantis"
"has-flag@1.0.0","MIT","https://github.com/sindresorhus/has-flag","https://github.com/sindresorhus/has-flag/raw/master/license","atlantis"
"has-flag@2.0.0","MIT","https://github.com/sindresorhus/has-flag","https://github.com/sindresorhus/has-flag/raw/master/license","icss-utils:atlantis"
"has-unicode@2.0.1","ISC","https://github.com/iarna/has-unicode","https://github.com/iarna/has-unicode/raw/master/LICENSE","atlantis"
"has@1.0.1","MIT","https://github.com/tarruda/has","https://github.com/tarruda/has/blob/master/LICENSE-MIT","atlantis"
"hash-base@2.0.2","MIT","https://github.com/crypto-browserify/hash-base","https://github.com/crypto-browserify/hash-base","atlantis"
"hash-base@3.0.4","MIT","https://github.com/crypto-browserify/hash-base","https://github.com/crypto-browserify/hash-base/raw/master/LICENSE","md5.js:atlantis"
"hash.js@1.1.3","MIT","https://github.com/indutny/hash.js","https://github.com/indutny/hash.js","atlantis"
"hawk@3.1.3","BSD-3-Clause","https://github.com/hueniverse/hawk","https://github.com/hueniverse/hawk/raw/master/LICENSE","atlantis"
"he@1.1.1","MIT","https://github.com/mathiasbynens/he","https://github.com/mathiasbynens/he/raw/master/LICENSE-MIT.txt","atlantis"
"hmac-drbg@1.0.1","MIT","https://github.com/indutny/hmac-drbg","https://github.com/indutny/hmac-drbg","atlantis"
"hoek@2.16.3","BSD-3-Clause","https://github.com/hapijs/hoek","https://github.com/hapijs/hoek/raw/master/LICENSE","atlantis"
"homedir@0.6.0","MIT","https://github.com/wilmoore/node-homedir","https://github.com/wilmoore/node-homedir/raw/master/license","atlantis"
"hosted-git-info@2.5.0","ISC","https://github.com/npm/hosted-git-info","https://github.com/npm/hosted-git-info/raw/master/LICENSE","atlantis"
"hpack.js@2.1.6","MIT","https://github.com/indutny/hpack.js","https://github.com/indutny/hpack.js","atlantis"
"html-comment-regex@1.1.1","MIT","https://github.com/stevemao/html-comment-regex","https://github.com/stevemao/html-comment-regex","atlantis"
"html-entities@1.2.1","MIT","https://github.com/mdevils/node-html-entities","https://github.com/mdevils/node-html-entities/raw/master/LICENSE","atlantis"
"html-minifier@3.5.5","MIT","https://github.com/kangax/html-minifier","https://github.com/kangax/html-minifier/raw/master/LICENSE","atlantis"
"html-webpack-plugin@2.30.1","MIT","https://github.com/jantimon/html-webpack-plugin","https://github.com/jantimon/html-webpack-plugin/raw/master/LICENSE","atlantis"
"htmlparser2@3.3.0","MIT","https://github.com/fb55/htmlparser2","http://github.com/fb55/htmlparser2/raw/master/LICENSE","atlantis"
"http-deceiver@1.2.7","MIT","https://github.com/indutny/http-deceiver","https://github.com/indutny/http-deceiver","atlantis"
"http-errors@1.6.2","MIT","https://github.com/jshttp/http-errors","https://github.com/jshttp/http-errors/raw/master/LICENSE","atlantis"
"http-parser-js@0.4.6","MIT","https://github.com/creationix/http-parser-js","https://github.com/creationix/http-parser-js/raw/master/LICENSE.md","atlantis"
"http-proxy-middleware@0.17.4","MIT","https://github.com/chimurai/http-proxy-middleware","https://github.com/chimurai/http-proxy-middleware/raw/master/LICENSE","atlantis"
"http-proxy@1.16.2","MIT","https://github.com/nodejitsu/node-http-proxy","https://github.com/nodejitsu/node-http-proxy/raw/master/LICENSE","atlantis"
"http-signature@1.1.1","MIT","https://github.com/joyent/node-http-signature","https://github.com/joyent/node-http-signature/raw/master/LICENSE","atlantis"
"https-browserify@0.0.1","MIT","https://github.com/substack/https-browserify","https://github.com/substack/https-browserify/raw/master/LICENSE","atlantis"
"https-proxy-agent@1.0.0","MIT","https://github.com/TooTallNate/node-https-proxy-agent","https://github.com/TooTallNate/node-https-proxy-agent","atlantis"
"humanize-plus@1.8.2","MIT","https://github.com/HubSpot/humanize","https://github.com/HubSpot/humanize/raw/master/LICENSE","atlantis"
"iconv-lite@0.4.19","MIT","https://github.com/ashtuchkin/iconv-lite","https://github.com/ashtuchkin/iconv-lite/raw/master/LICENSE","atlantis"
"icss-replace-symbols@1.1.0","ISC","https://github.com/css-modules/icss-replace-symbols","https://github.com/css-modules/icss-replace-symbols","atlantis"
"icss-utils@2.1.0","ISC","https://github.com/css-modules/icss-utils","https://github.com/css-modules/icss-utils","atlantis"
"ieee754@1.1.8","BSD-3-Clause","https://github.com/feross/ieee754","https://github.com/feross/ieee754/raw/master/LICENSE","atlantis"
"image-size@0.5.5","MIT","https://github.com/image-size/image-size","https://github.com/image-size/image-size/raw/master/LICENSE","atlantis"
"img-stats@0.5.2","MIT","https://github.com/jefflembeck/img-stats","https://github.com/jefflembeck/img-stats/raw/master/LICENSE-MIT","atlantis"
"import-lazy@2.1.0","MIT","https://github.com/sindresorhus/import-lazy","https://github.com/sindresorhus/import-lazy/raw/master/license","atlantis"
"imurmurhash@0.1.4","MIT","https://github.com/jensyt/imurmurhash-js","https://github.com/jensyt/imurmurhash-js","atlantis"
"in-publish@2.0.0","ISC","https://github.com/iarna/in-publish","https://github.com/iarna/in-publish/raw/master/LICENSE","atlantis"
"indent-string@2.1.0","MIT","https://github.com/sindresorhus/indent-string","https://github.com/sindresorhus/indent-string/raw/master/license","atlantis"
"indexes-of@1.0.1","MIT","https://github.com/dominictarr/indexes-of","https://github.com/dominictarr/indexes-of/raw/master/LICENSE","atlantis"
"indexof@0.0.1","MIT*","","","atlantis"
"inflection@1.12.0","MIT","https://github.com/dreamerslab/node.inflection","https://github.com/dreamerslab/node.inflection","atlantis"
"inflight@1.0.6","ISC","https://github.com/npm/inflight","https://github.com/npm/inflight/raw/master/LICENSE","atlantis"
"inherits@2.0.1","ISC","https://github.com/isaacs/inherits","https://github.com/isaacs/inherits/raw/master/LICENSE","util:atlantis"
"inherits@2.0.3","ISC","https://github.com/isaacs/inherits","https://github.com/isaacs/inherits/raw/master/LICENSE","atlantis"
"ini@1.3.4","ISC","https://github.com/isaacs/ini","https://github.com/isaacs/ini/raw/master/LICENSE","atlantis"
"inquirer@3.2.3","MIT","https://github.com/SBoudrias/Inquirer.js","https://github.com/SBoudrias/Inquirer.js","atlantis"
"intercept-stdout@0.1.2","MIT","https://github.com/sfarthin/intercept-stdout","https://github.com/sfarthin/intercept-stdout/raw/master/LICENSE","atlantis"
"interpret@1.0.4","MIT","https://github.com/tkellen/node-interpret","https://github.com/tkellen/node-interpret/raw/master/LICENSE","atlantis"
"invariant@2.2.2","BSD-3-Clause","https://github.com/zertosh/invariant","https://github.com/zertosh/invariant/raw/master/LICENSE","atlantis"
"invert-kv@1.0.0","MIT","https://github.com/sindresorhus/invert-kv","https://github.com/sindresorhus/invert-kv","atlantis"
"ipaddr.js@1.4.0","MIT","https://github.com/whitequark/ipaddr.js","https://github.com/whitequark/ipaddr.js/raw/master/LICENSE","atlantis"
"is-absolute-url@2.1.0","MIT","https://github.com/sindresorhus/is-absolute-url","https://github.com/sindresorhus/is-absolute-url/raw/master/license","atlantis"
"is-arrayish@0.2.1","MIT","https://github.com/qix-/node-is-arrayish","https://github.com/qix-/node-is-arrayish/raw/master/LICENSE","atlantis"
"is-binary-path@1.0.1","MIT","https://github.com/sindresorhus/is-binary-path","https://github.com/sindresorhus/is-binary-path/raw/master/license","atlantis"
"is-buffer@1.1.5","MIT","https://github.com/feross/is-buffer","https://github.com/feross/is-buffer/raw/master/LICENSE","atlantis"
"is-builtin-module@1.0.0","MIT","https://github.com/sindresorhus/is-builtin-module","https://github.com/sindresorhus/is-builtin-module/raw/master/license","atlantis"
"is-directory@0.3.1","MIT","https://github.com/jonschlinkert/is-directory","https://github.com/jonschlinkert/is-directory/raw/master/LICENSE","atlantis"
"is-dotfile@1.0.3","MIT","https://github.com/jonschlinkert/is-dotfile","https://github.com/jonschlinkert/is-dotfile/raw/master/LICENSE","atlantis"
"is-equal-shallow@0.1.3","MIT","https://github.com/jonschlinkert/is-equal-shallow","https://github.com/jonschlinkert/is-equal-shallow/raw/master/LICENSE","atlantis"
